slug,name,price,stock,sku,compare_at_price,category,collections,color,color_family,color_hex,fabric,description,story,length,width,blouse,zari,weight,weave,care,featured,new_arrival
rose-quartz-tissue-silk,Rose Quartz Tissue Silk,8900,9,SKS-EVD-011,,everyday,"everyday, new-arrivals",Rose Quartz,pink,#E8B7BE,Tissue Silk,"A pale rose tissue weave with a wine border — light in the hand, with a faint metallic ground that catches the light.","Tissue silk carries a fine metallic thread through the weft, so the ground has a low sheen rather than a printed shine. At this weight the saree drapes close and pleats easily, which makes it a practical choice for long evenings.",6.3 metres including blouse piece,46 inches,0.8 metre contrast blouse piece attached,Fine gold tissue weft,Approx. 450 g,Tissue silk handloom,Dry clean only. Handle gently — tissue weaves snag easily.,no,yes
midnight-blue-zari-kanjivaram,Midnight Blue Zari Kanjivaram,24900,3,SKS-BRD-012,,bridal,"bridal, kanchipuram",Midnight Blue,blue,#16264A,Korvai Silk,"Gold mango buttas across a near-black blue, with a heavily worked pallu — an evening saree with unusual depth.",The ground is pitched dark enough that the gold appears to float rather than sit on the surface. It is a difficult effect to achieve and it depends entirely on the density of the dye. Cut with a korvai border and a full zari pallu.,6.5 metres including blouse piece,48 inches,0.9 metre contrast blouse piece attached,Fine gold zari,Approx. 940 g,Korvai — hand-interlocked contrast border,Dry clean only. Store folded in cotton muslin.,yes,no
turmeric-gold-mangalagiri,Turmeric Gold Mangalagiri,6500,14,SKS-EVD-013,,everyday,everyday,Turmeric,saffron,#D9A62E,Silk Cotton,A turmeric silk-cotton weave with a fine gold edge — the most wearable saree in the collection.,"Light, breathable and easy to maintain, this is the weave to reach for when silk needs to be practical. The kolam motif is kept small and the border narrow, so it works as readily for an office day as for a family lunch.",6.3 metres including blouse piece,46 inches,0.8 metre matching blouse piece attached,Fine gold edge,Approx. 440 g,Silk-cotton handloom,"Gentle hand wash in cold water, or dry clean.",no,no
olive-korvai-silk,Olive Korvai Silk,18500,4,SKS-KAN-014,,kanchipuram,kanchipuram,Olive,green,#5B6034,Korvai Silk,A muted olive body joined to a wine border by hand — an understated weave for someone who already owns the obvious ones.,"Olive and wine is not a traditional pairing, and that is the point. The rudraksha motif — concentric rings named for the seed used in prayer beads — runs down the border, while the body is left almost bare. A second or third saree rather than a first.",6.3 metres including blouse piece,48 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 780 g,Korvai — hand-interlocked contrast border,Dry clean only. Store folded in cotton muslin.,no,no
coral-mango-butta-silk,Coral Mango Butta Silk,12500,7,SKS-FST-015,,festive,"festive, new-arrivals",Coral,red,#E0644C,Pure Mulberry Silk,Mango buttas in pale gold on a soft coral ground — warm without tipping into red.,"The mango, or paisley, is the most widely travelled motif in Indian textile and one of the oldest. Worked here in a lighter gold so it sits gently on the coral rather than cutting against it.",6.3 metres including blouse piece,47 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 670 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,no,yes
pearl-ivory-wedding-silk,Pearl Ivory Wedding Silk,32000,2,SKS-BRD-016,,bridal,bridal,Pearl Ivory,neutral,#F7F1E3,Korvai Silk,"A pearl ivory ground with a full antique-gold border — bridal weight, in the lightest possible register.","An alternative to the red bridal saree, and an increasingly common one. The weight and the pallu are unchanged; only the ground shifts. Peacock plumes are worked in antique gold, which reads warmer against ivory than bright gold would.",6.5 metres including blouse piece,48 inches,0.9 metre contrast blouse piece attached,"Fine gold zari, antique finish",Approx. 950 g,Korvai — hand-interlocked contrast border,Dry clean only. Store folded in cotton muslin away from light.,yes,no
deep-teal-rudraksha-silk,Deep Teal Rudraksha Silk,15900,6,SKS-KAN-017,,kanchipuram,"kanchipuram, festive",Deep Teal,green,#0F4C55,Pure Mulberry Silk,"Concentric rudraksha rings in gold on deep teal, with a narrow stepped border.","The rudraksha motif is drawn from the seed used in prayer beads and appears throughout South Indian weaving, usually along borders. Bringing it onto the body at this scale gives the saree a quiet, repeating rhythm.",6.3 metres including blouse piece,47 inches,0.8 metre contrast blouse piece attached,Half-fine gold zari,Approx. 710 g,Traditional Kanchipuram handloom technique,Dry clean only. Store folded in cotton muslin.,no,no
blush-tissue-organza-drape,Blush Tissue Organza Drape,6500,10,SKS-EVD-018,,everyday,"everyday, new-arrivals",Blush,pink,#EBC9C4,Organza Silk,"A sheer blush organza with a terracotta edge — the lightest weave we carry, and the easiest to wear.","Organza holds its shape rather than falling close to the body, which gives the drape a soft structure through the pleats. Finished with a narrow terracotta border and small gold diamonds.",6.3 metres including blouse piece,45 inches,0.8 metre contrast blouse piece attached,Fine gold edge,Approx. 380 g,Organza silk,Dry clean only. Steam rather than iron directly.,no,yes
sandalwood-beige-silk-cotton,Sandalwood Beige Silk Cotton,6500,12,SKS-EVD-019,,everyday,everyday,Sandalwood,neutral,#D9C6A5,Silk Cotton,"A warm sandalwood neutral with a terracotta border — quiet, durable, and easy to return to.","Neutrals are underrepresented in South Indian silk and disproportionately useful. This one pairs with almost any blouse, takes a kolam motif in deep gold, and is light enough to wear through a working day.",6.3 metres including blouse piece,46 inches,0.8 metre contrast blouse piece attached,Antique gold edge,Approx. 460 g,Silk-cotton handloom,"Gentle hand wash in cold water, or dry clean.",no,no
wine-heritage-korvai-silk,Wine Heritage Korvai Silk,24900,3,SKS-BRD-020,,bridal,"bridal, kanchipuram",Wine,maroon,#58192C,Korvai Silk,"The house colour, worked as a full korvai weave with peacock plumes in antique gold.","If Sri Kanchi Silks had a single saree to stand for the rest, this would be it — a deep wine ground, a near-black border joined by hand, and a pallu closed with a run of peacock plumes. Traditional in every particular, and cut without excess.",6.5 metres including blouse piece,48 inches,0.9 metre contrast blouse piece attached,"Fine gold zari, antique finish",Approx. 900 g,Korvai — hand-interlocked contrast border,Dry clean only. Store folded in cotton muslin.,yes,no
